Model,Precision,Recall,F1,ROC_AUC
Logistic Regression,0.17284130688448074,0.5217965653896962,0.25966911361893286,0.6474116623496435
Decision Tree,0.1739075524122253,0.6063408190224571,0.27029149082343706,0.6617151359868982
Random Forest,0.18755493056776235,0.4698370761778952,0.2680904522613065,0.6597387437003691
